Week_Number;Customer;Volume
13;starver;296
14;starver;343
15;starver;405
16;starver;354
17;starver;406
1;stertor;201
2;stertor;359
3;stertor;410
4;stertor;388
5;stertor;377
6;stertor;339
7;stertor;270
8;stertor;336
9;stertor;215
10;stertor;450
11;stertor;288
12;stertor;263
13;stertor;273
14;stertor;311
15;stertor;253
16;stertor;216
17;stertor;317
1;subhead;416
2;subhead;480
3;subhead;409
4;subhead;525
5;subhead;536
6;subhead;459
7;subhead;417
8;subhead;468
9;subhead;446
10;subhead;437
11;subhead;498
12;subhead;512
13;subhead;463
14;subhead;523
15;subhead;398
16;subhead;352
17;subhead;505
2;sullage;14
4;sullage;374
5;sullage;482
6;sullage;196
7;sullage;260
8;sullage;109
9;sullage;89
10;sullage;62
11;sullage;52
12;sullage;90
13;sullage;305
15;sullage;2656
16;sullage;122
17;sullage;50
4;supreme;12
5;supreme;25
6;supreme;37
7;supreme;7
8;supreme;37
9;supreme;37
10;supreme;12
11;supreme;13
12;supreme;23
13;supreme;75
14;supreme;30
15;supreme;68
16;supreme;60
17;supreme;72
1;toadied;1134
2;toadied;4444
3;toadied;2762
4;toadied;2213
5;toadied;2419
6;toadied;5377
7;toadied;2463
8;toadied;2398
9;toadied;2945
10;toadied;4184
11;toadied;4589
12;toadied;2372
13;toadied;2866
14;toadied;3827
15;toadied;2765
16;toadied;1252
17;toadied;1900
1;triduum;49620
2;triduum;51730
3;triduum;49387
4;triduum;45851
5;triduum;38570
6;triduum;43957
7;triduum;42171
8;triduum;35528
9;triduum;42111
10;triduum;39255
11;triduum;37556
12;triduum;38784
13;triduum;34852
14;triduum;37066
15;triduum;36288
16;triduum;27172
17;triduum;27384
2;tripoli;1
5;tripoli;15
7;tripoli;22
8;tripoli;53
9;tripoli;73
11;tripoli;30
14;tripoli;391
15;tripoli;31
16;tripoli;20
17;tripoli;61
1;trismus;20
2;trismus;31
3;trismus;70
4;trismus;26
7;trismus;2
10;trismus;14
12;trismus;45
15;trismus;13
16;trismus;33
17;trismus;12
1;twinned;181
2;twinned;88
3;twinned;111
4;twinned;79
5;twinned;57
7;twinned;69
9;twinned;156
10;twinned;64
11;twinned;146
12;twinned;121
13;twinned;107
14;twinned;175
15;twinned;149
16;twinned;158
1;vistula;6
2;vistula;298
3;vistula;313
4;vistula;342
5;vistula;91
6;vistula;60
7;vistula;220
8;vistula;134
9;vistula;213
10;vistula;273
11;vistula;165
12;vistula;414
13;vistula;269
14;vistula;329
15;vistula;446
16;vistula;357
17;vistula;269
1;woodser;3468
2;woodser;4242
3;woodser;3279
4;woodser;2727
5;woodser;2270
6;woodser;2454
7;woodser;2281
8;woodser;1912
9;woodser;1808
10;woodser;1923
11;woodser;1730
12;woodser;1821
13;woodser;1853
14;woodser;1618
15;woodser;1584
16;woodser;1732
17;woodser;1651
1;Year;2019
2;Year;2019
3;Year;2019
4;Year;2019
5;Year;2019
6;Year;2019
7;Year;2019
8;Year;2019
9;Year;2019
10;Year;2019
11;Year;2019
12;Year;2019
13;Year;2019
14;Year;2019
15;Year;2019
16;Year;2019
17;Year;2019
